soundId	Url	Vol	SoundStartTime	
1001	Hit_1001	1.2	0
1002	Hit_1002	1.8	0
1003	Hit_1003	1.2	0
1004	Hit_1004	1.2	0
1005	Hit_1005	1.2	0
1006	Hit_1006	1.2	0
1007	Hit_1007	1.2	0
1008	Hit_1008	1.2	0
1009	Hit_1009	1.2	0
1010	Hit_1010	1.2	0
1011	Hit_1011	1.2	0
1012	Hit_1012	1.2	0
1013	Hit_1013	1.2	0
1014	Hit_1014	.8	0
1015	Hit_1015	1	0
1016	Hit_1016	1	0
1017	Hit_1010	.8	0
1018	Hit_1006	.8	0
1019	Hit_1011	.8	0
1020	Hit_1014	.9	0
1021	Hit_1016	.8	0
1022	Hit_1004	1	0
1023	Boss04_Skill_02_FireBoom	1	0
1024	03_JYG02_Skill_02_01	1	0
